Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D16.0mm_P7.50mm,1,1000uf,
"C10, C11, C12, C14, C15, C17, C3, C7, C8, C9",0603,10,0.1uf,
"C13, C2, C4, C6",1206,4,10uf,
C16,1206,1,1uf,
C18,1206,1,1nf,
C5,CP_Radial_D5.0mm_P2.00mm,1,100uf polymer,
D1,Diode_Bridge_KBP,1,KBP302G,
"D10, D11, D12, D13, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-27_P5.08mm_Vertical_KathodeUp,12,P6KE43CA,
DS1,OLED_128x64_SSD1306,1,OLED_128x64_SSD1306,
"FID1, FID2, FID3",Fiducial_1mm_Mask2mm,3,Fiducial,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,696105003002,1,696105003002,
J2,PHOENIX_1736036,1,1736036,
J3,CONN2_2604-1102_WAG,1,2604-1102,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J5, J6, J7",CONN4_2604-1104_WAG,3,2604-1104,
MOD1,ESP32C6WROOM1N4,1,ESP32-C6-WROOM-1-N4,
PS1,SPBW03G05,1,SPBW03G-05,
Q1,SOT-363_SC-70-6,1,MBT3904DW1,
R1,1206,1,100,
"R10, R4, R7, R8, R9",1206,5,10K,
"R2, R3",1206,2,10K 0.1%,
"R5, R6",1206,2,4.7K,
RV1,MOV14D680KKTR,1,MOV-14D680KKTR,
"S1, S2",SW_SKRPABE010,2,SKRPABE010,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U7, U8, U9",SSO-7-8_6.4x9.78mm_P2.54mm,12,AQH3213A,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS724xLCTR-05AB,
U3,TSSOP-10_3x3mm_P0.5mm,1,ADS1114IDGS,
"U4, U5",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC138,
U6,SOT96P240X100-3N,1,APX803S-31SA-7,
