Designator,Mid X,Mid Y,Rotation,Layer
C1,67.25,-76.2,0.0,top
C10,95.25,-97.79,0.0,top
C11,133.7575,-97.79,0.0,top
C12,134.62,-53.34,270.0,top
C13,131.7875,-52.07,90.0,top
C14,109.728,-41.148,0.0,top
C15,135.128,-86.36,270.0,top
C16,131.064,-58.928,180.0,top
C17,144.272,-86.36,270.0,top
C18,71.0815,-134.112,0.0,top
C2,106.68,-83.82,270.0,top
C3,101.6,-81.4335,90.0,top
C4,90.932,-77.724,180.0,top
C5,91.001099,-83.312,180.0,top
C6,113.284,-79.248,0.0,top
C7,109.22,-83.82,270.0,top
C8,65.024,-137.16,0.0,top
C9,65.024,-126.492,0.0,top
D1,64.785,-62.955,0.0,top
D10,134.2905,-139.086,270.0,top
D11,140.8945,-139.086,270.0,top
D12,146.9905,-139.086,270.0,top
D13,153.0865,-139.086,270.0,top
D2,78.102,-139.086,270.0,top
D3,84.706,-139.086,270.0,top
D4,90.802,-139.086,270.0,top
D5,96.898,-139.086,270.0,top
D6,106.278,-139.086,270.0,top
D7,112.882,-139.086,270.0,top
D8,118.978,-139.086,270.0,top
D9,125.074,-139.086,270.0,top
DS1,114.73,-56.235,0.0,top
FID1,65.024,-41.148,0.0,top
FID2,149.352,-41.148,0.0,top
FID3,73.152,-167.132,0.0,top
J1,87.75,-49.53,0.0,top
J2,70.04,-52.07,270.0,top
J3,64.81,-152.11,0.0,top
J4,132.588,-77.724,270.0,top
J5,87.793999,-152.075999,0.0,top
J6,115.969999,-152.075999,0.0,top
J7,143.982499,-152.075999,0.0,top
MOD1,146.19,-58.6,0.0,top
PS1,88.85,-68.58,0.0,top
Q1,131.43,-66.9275,270.0,top
R1,72.898,-115.316,180.0,top
R10,155.448,-75.7285,270.0,top
R2,71.12,-129.032,0.0,top
R3,71.12,-131.572,180.0,top
R4,143.256,-92.202,180.0,top
R5,114.3,-41.91,180.0,top
R6,119.888,-41.91,0.0,top
R7,131.064,-56.388,180.0,top
R8,133.096,-72.644,90.0,top
R9,130.048,-72.644,90.0,top
RV1,86.36,-59.69,0.0,top
S1,139.192,-86.36,0.0,top
S2,148.336,-86.36,0.0,top
U1,106.68,-76.2,270.0,top
U10,94.358,-127.402,0.0,top
U11,110.342,-116.734,0.0,top
U12,110.342,-127.402,0.0,top
U13,122.534,-116.734,0.0,top
U14,122.534,-127.402,0.0,top
U15,138.3545,-116.734,0.0,top
U16,138.3545,-127.402,0.0,top
U17,150.5465,-116.734,0.0,top
U18,150.5465,-127.402,0.0,top
U2,69.85,-139.7,0.0,top
U3,66.04,-130.556,0.0,top
U4,102.235,-100.395,0.0,top
U5,140.97,-100.33,0.0,top
U6,131.03,-62.54,180.0,top
U7,82.166,-116.734,0.0,top
U8,82.166,-127.402,0.0,top
U9,94.358,-116.734,0.0,top
